"Country or Area","Year","Item","Value"
"Guyana","2021","Gross Domestic Product (GDP)","9998.54545222873"
"Haiti","2021","Gross Domestic Product (GDP)","1663.562062199"
"Honduras","2021","Gross Domestic Product (GDP)","2771.72261645247"
"Hungary","2021","Gross Domestic Product (GDP)","18728.3244176432"
"Iceland","2021","Gross Domestic Product (GDP)","69133.1340822158"
"India","2021","Gross Domestic Product (GDP)","2274.47654160975"
"Indonesia","2021","Gross Domestic Product (GDP)","4332.70928089405"
"Iran, Islamic Republic of","2021","Gross Domestic Product (GDP)","6766.02090161162"
"Iraq","2021","Gross Domestic Product (GDP)","4686.12992866172"
"Ireland","2021","Gross Domestic Product (GDP)","101108.989159094"
"Israel","2021","Gross Domestic Product (GDP)","54111.0210446624"
"Italy","2021","Gross Domestic Product (GDP)","35578.8510673149"
"Jamaica","2021","Gross Domestic Product (GDP)","5183.58014157579"
"Japan","2021","Gross Domestic Product (GDP)","39649.9275053265"
"Jordan","2021","Gross Domestic Product (GDP)","4058.35430116032"
"Kazakhstan","2021","Gross Domestic Product (GDP)","10054.8900817298"
"Kenya","2021","Gross Domestic Product (GDP)","2081.79896988923"
"Kingdom of Eswatini","2021","Gross Domestic Product (GDP)","3968.90595896081"
"Kiribati","2021","Gross Domestic Product (GDP)","1764.93448610105"
"Kosovo","2021","Gross Domestic Product (GDP)","5663.08649820687"
"Kuwait","2021","Gross Domestic Product (GDP)","32150.1788243815"
"Kyrgyzstan","2021","Gross Domestic Product (GDP)","1339.0052104083"
"Lao People's Democratic Republic","2021","Gross Domestic Product (GDP)","2568.92408238079"
"Latvia","2021","Gross Domestic Product (GDP)","21267.46224347"
"Lebanon","2021","Gross Domestic Product (GDP)","6784.79932772586"
"Lesotho","2021","Gross Domestic Product (GDP)","1040.30867404702"
"Liberia","2021","Gross Domestic Product (GDP)","470.767016353013"
"Libya","2021","Gross Domestic Product (GDP)","5791.25497649797"
"Liechtenstein","2021","Gross Domestic Product (GDP)","169260.216995924"
"Lithuania","2021","Gross Domestic Product (GDP)","23844.1256495224"
"Luxembourg","2021","Gross Domestic Product (GDP)","133745.40150219"
"Madagascar","2021","Gross Domestic Product (GDP)","499.722185088885"
"Malawi","2021","Gross Domestic Product (GDP)","613.341049703055"
"Malaysia","2021","Gross Domestic Product (GDP)","11100.9437246863"
"Maldives","2021","Gross Domestic Product (GDP)","10366.294434637"
"Mali","2021","Gross Domestic Product (GDP)","874.552414231923"
"Malta","2021","Gross Domestic Product (GDP)","33641.5956848401"
"Marshall Islands","2021","Gross Domestic Product (GDP)","6111.27229488704"
"Mauritania","2021","Gross Domestic Product (GDP)","2166.0447966256"
"Mauritius","2021","Gross Domestic Product (GDP)","8872.95918952896"
"Mexico","2021","Gross Domestic Product (GDP)","10045.676371041"
"Micronesia (Federated States of)","2021","Gross Domestic Product (GDP)","3572.65515199194"
"Monaco","2021","Gross Domestic Product (GDP)","234317.084818276"
"Mongolia","2021","Gross Domestic Product (GDP)","4509.85839327106"
"Montenegro","2021","Gross Domestic Product (GDP)","9252.31191553621"
"Montserrat","2021","Gross Domestic Product (GDP)","16199.4195825892"
"Morocco","2021","Gross Domestic Product (GDP)","3853.28333173025"
"Mozambique","2021","Gross Domestic Product (GDP)","491.839112776531"
"Myanmar","2021","Gross Domestic Product (GDP)","1088.92520628649"
"Namibia","2021","Gross Domestic Product (GDP)","4836.17424146373"
"Nauru","2021","Gross Domestic Product (GDP)","12390.3701149419"
"Nepal","2021","Gross Domestic Product (GDP)","1205.50000220085"
"Netherlands","2021","Gross Domestic Product (GDP)","57871.3492096268"
"New Caledonia","2021","Gross Domestic Product (GDP)","34994.2658344617"
"New Zealand","2021","Gross Domestic Product (GDP)","48823.5077795339"
"Nicaragua","2021","Gross Domestic Product (GDP)","2045.53428665041"
"Niger","2021","Gross Domestic Product (GDP)","590.629477265162"
"Nigeria","2021","Gross Domestic Product (GDP)","2019.30806281872"
"Norway","2021","Gross Domestic Product (GDP)","89241.7139378055"
"Oman","2021","Gross Domestic Product (GDP)","19509.4664864"
"Pakistan","2021","Gross Domestic Product (GDP)","1480.11072689193"
"Palau","2021","Gross Domestic Product (GDP)","12084.1282734132"
"Panama","2021","Gross Domestic Product (GDP)","14617.596617491"
"Papua New Guinea","2021","Gross Domestic Product (GDP)","2672.9671739215"
"Paraguay","2021","Gross Domestic Product (GDP)","6035.14306386803"
"Peru","2021","Gross Domestic Product (GDP)","6621.65260383678"
"Philippines","2021","Gross Domestic Product (GDP)","3460.53112301115"
"Poland","2021","Gross Domestic Product (GDP)","17736.4195570017"
"Portugal","2021","Gross Domestic Product (GDP)","24651.1764348733"
"Puerto Rico","2021","Gross Domestic Product (GDP)","32716.4569837852"
"Qatar","2021","Gross Domestic Product (GDP)","66798.76705368"
"Republic of Korea","2021","Gross Domestic Product (GDP)","34940.4112617515"
"Republic of Moldova","2021","Gross Domestic Product (GDP)","4468.4212899075"
"Republic of North Macedonia","2021","Gross Domestic Product (GDP)","6599.61934040765"
"Romania","2021","Gross Domestic Product (GDP)","14697.7542889102"
"Russian Federation","2021","Gross Domestic Product (GDP)","12258.7720197789"
"Rwanda","2021","Gross Domestic Product (GDP)","822.315748727688"
"Saint Kitts and Nevis","2021","Gross Domestic Product (GDP)","18082.6879898426"
"Saint Lucia","2021","Gross Domestic Product (GDP)","9824.06210230247"
"Saint Vincent and the Grenadines","2021","Gross Domestic Product (GDP)","8440.0250943924"
"Samoa","2021","Gross Domestic Product (GDP)","3918.65810408444"
"San Marino","2021","Gross Domestic Product (GDP)","50425.1021435289"
"Sao Tome and Principe","2021","Gross Domestic Product (GDP)","2485.81755237744"
"Saudi Arabia","2021","Gross Domestic Product (GDP)","23185.8707917802"
"Senegal","2021","Gross Domestic Product (GDP)","1636.87982521049"
"Serbia","2021","Gross Domestic Product (GDP)","8643.29239749049"
"Seychelles","2021","Gross Domestic Product (GDP)","12084.6276388685"
"Sierra Leone","2021","Gross Domestic Product (GDP)","504.621238052416"
"Singapore","2021","Gross Domestic Product (GDP)","66821.7161136585"
"Sint Maarten (Dutch part)","2021","Gross Domestic Product (GDP)","26198.6927663513"
"Slovakia","2021","Gross Domestic Product (GDP)","21390.4527696121"
"Slovenia","2021","Gross Domestic Product (GDP)","29134.8000315499"
"Solomon Islands","2021","Gross Domestic Product (GDP)","2305.98114712729"
"Somalia","2021","Gross Domestic Product (GDP)","446.997757293079"
"South Africa","2021","Gross Domestic Product (GDP)","7055.05517622779"
"South Sudan","2021","Gross Domestic Product (GDP)","400.442902935503"
"Spain","2021","Gross Domestic Product (GDP)","30058.3872447137"
"Sri Lanka","2021","Gross Domestic Product (GDP)","3918.01916760614"
"State of Palestine","2021","Gross Domestic Product (GDP)","3513.62218198026"
"Sudan","2021","Gross Domestic Product (GDP)","785.577295220761"
"Suriname","2021","Gross Domestic Product (GDP)","5259.26297187575"
"Sweden","2021","Gross Domestic Product (GDP)","60729.7134250084"
"Switzerland","2021","Gross Domestic Product (GDP)","93525.3661913239"
"Syrian Arab Republic","2021","Gross Domestic Product (GDP)","924.711783316654"
"Tajikistan","2021","Gross Domestic Product (GDP)","897.051476423965"
"Thailand","2021","Gross Domestic Product (GDP)","7066.67548675631"
"Timor-Leste","2021","Gross Domestic Product (GDP)","1517.22388113937"
"Togo","2021","Gross Domestic Product (GDP)","943.939354111967"
"Tonga","2021","Gross Domestic Product (GDP)","4450.53149261273"
"Trinidad and Tobago","2021","Gross Domestic Product (GDP)","16032.5027682099"
"Tunisia","2021","Gross Domestic Product (GDP)","3807.18456310206"
"Türkiye","2021","Gross Domestic Product (GDP)","9661.22773420424"
"Turkmenistan","2021","Gross Domestic Product (GDP)","8507.66760018503"
"Turks and Caicos Islands","2021","Gross Domestic Product (GDP)","20908.5819922862"
"Tuvalu","2021","Gross Domestic Product (GDP)","5370.41927052836"
"Uganda","2021","Gross Domestic Product (GDP)","930.372362345049"
"Ukraine","2021","Gross Domestic Product (GDP)","4596.34917496562"
"United Arab Emirates","2021","Gross Domestic Product (GDP)","43295.3930816513"
"United Kingdom of Great Britain and Northern Ireland","2021","Gross Domestic Product (GDP)","46541.7569268803"
"United Republic of Tanzania: Mainland","2021","Gross Domestic Product (GDP)","1136.19039516936"
"United Republic of Tanzania: Zanzibar","2021","Gross Domestic Product (GDP)","1211.20191743191"
"United States","2021","Gross Domestic Product (GDP)","69184.7044001711"
"Uruguay","2021","Gross Domestic Product (GDP)","17312.6417779094"
"Uzbekistan","2021","Gross Domestic Product (GDP)","2031.57157919417"
"Vanuatu","2021","Gross Domestic Product (GDP)","3072.57222064296"
"Venezuela (Bolivarian Republic of)","2021","Gross Domestic Product (GDP)","3965.03432809561"
"Viet Nam","2021","Gross Domestic Product (GDP)","3756.48890091386"
"Yemen","2021","Gross Domestic Product (GDP)","301.586433409629"
"Zambia","2021","Gross Domestic Product (GDP)","1094.50161325854"
"Zimbabwe","2021","Gross Domestic Product (GDP)","1507.99478989121"

