rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
5,England,ENG,60.0,59.0,0,UEFA,5/20/1998
10,England,ENG,63.0,60.0,5,UEFA,7/15/1998
10,England,ENG,63.0,63.0,0,UEFA,8/19/1998
11,England,ENG,61.0,63.0,1,UEFA,9/16/1998
10,England,ENG,62.0,61.0,-1,UEFA,10/21/1998
11,England,ENG,62.0,62.0,1,UEFA,11/18/1998
9,England,ENG,63.0,62.0,-2,UEFA,12/23/1998
11,England,ENG,697.0,63.0,2,UEFA,1/27/1999
11,England,ENG,695.0,697.0,0,UEFA,2/24/1999
11,England,ENG,693.0,695.0,0,UEFA,3/24/1999
10,England,ENG,700.0,693.0,-1,UEFA,4/21/1999
11,England,ENG,695.0,700.0,1,UEFA,5/19/1999
13,England,ENG,684.0,695.0,2,UEFA,6/16/1999
14,England,ENG,672.0,684.0,1,UEFA,7/21/1999
14,England,ENG,665.0,672.0,0,UEFA,8/18/1999
12,England,ENG,683.0,665.0,-2,UEFA,9/15/1999
12,England,ENG,688.0,683.0,0,UEFA,10/13/1999
11,England,ENG,703.0,688.0,-1,UEFA,11/17/1999
12,England,ENG,695.0,703.0,1,UEFA,12/22/1999
12,England,ENG,695.0,695.0,0,UEFA,1/19/2000
11,England,ENG,698.0,695.0,-1,UEFA,2/16/2000
11,England,ENG,693.0,698.0,0,UEFA,3/15/2000
13,England,ENG,682.0,693.0,2,UEFA,4/12/2000
12,England,ENG,678.0,682.0,-1,UEFA,5/10/2000
12,England,ENG,682.0,678.0,0,UEFA,6/7/2000
15,England,ENG,691.0,682.0,3,UEFA,7/5/2000
13,England,ENG,689.0,691.0,-2,UEFA,8/9/2000
14,England,ENG,682.0,689.0,1,UEFA,9/6/2000
15,England,ENG,672.0,682.0,1,UEFA,10/11/2000
16,England,ENG,667.0,672.0,1,UEFA,11/15/2000
17,England,ENG,657.0,667.0,1,UEFA,12/20/2000
17,England,ENG,657.0,657.0,0,UEFA,1/17/2001
17,England,ENG,655.0,657.0,0,UEFA,2/14/2001
16,England,ENG,659.0,655.0,-1,UEFA,3/14/2001
14,England,ENG,677.0,659.0,-2,UEFA,4/11/2001
14,England,ENG,673.0,677.0,0,UEFA,5/16/2001
13,England,ENG,693.0,673.0,-1,UEFA,6/20/2001
15,England,ENG,682.0,693.0,2,UEFA,7/18/2001
15,England,ENG,675.0,682.0,0,UEFA,8/22/2001
9,England,ENG,712.0,675.0,-6,UEFA,9/19/2001
9,England,ENG,716.0,712.0,0,UEFA,10/17/2001
10,England,ENG,712.0,716.0,1,UEFA,11/21/2001
10,England,ENG,712.0,712.0,0,UEFA,12/19/2001
10,England,ENG,712.0,712.0,0,UEFA,1/16/2002
10,England,ENG,709.0,712.0,0,UEFA,2/13/2002
12,England,ENG,704.0,709.0,2,UEFA,3/20/2002
11,England,ENG,698.0,704.0,-1,UEFA,4/17/2002
12,England,ENG,694.0,698.0,1,UEFA,5/15/2002
8,England,ENG,728.0,694.0,-4,UEFA,7/3/2002
7,England,ENG,728.0,728.0,-1,UEFA,8/14/2002
9,England,ENG,718.0,728.0,2,UEFA,9/18/2002
6,England,ENG,731.0,718.0,-3,UEFA,10/23/2002
6,England,ENG,734.0,731.0,0,UEFA,11/20/2002
7,England,ENG,734.0,734.0,1,UEFA,12/18/2002
8,England,ENG,734.0,734.0,1,UEFA,1/15/2003
8,England,ENG,731.0,734.0,0,UEFA,2/19/2003
9,England,ENG,725.0,731.0,1,UEFA,3/26/2003
7,England,ENG,742.0,725.0,-2,UEFA,4/23/2003
7,England,ENG,739.0,742.0,0,UEFA,5/21/2003
8,England,ENG,727.0,739.0,1,UEFA,6/25/2003
10,England,ENG,726.0,727.0,2,UEFA,7/30/2003
8,England,ENG,733.0,726.0,-2,UEFA,8/27/2003
6,England,ENG,745.0,733.0,-2,UEFA,9/24/2003
6,England,ENG,745.0,745.0,0,UEFA,10/22/2003
8,England,ENG,738.0,745.0,2,UEFA,11/19/2003
8,England,ENG,738.0,738.0,0,UEFA,12/15/2003
8,England,ENG,738.0,738.0,0,UEFA,1/14/2004
7,England,ENG,740.0,738.0,-1,UEFA,2/18/2004
6,England,ENG,735.0,740.0,-1,UEFA,3/17/2004
10,England,ENG,724.0,735.0,4,UEFA,4/14/2004
12,England,ENG,714.0,724.0,2,UEFA,5/12/2004
13,England,ENG,711.0,714.0,1,UEFA,6/9/2004
8,England,ENG,733.0,711.0,-5,UEFA,7/7/2004
7,England,ENG,732.0,733.0,-1,UEFA,8/4/2004
7,England,ENG,732.0,732.0,0,UEFA,9/1/2004
7,England,ENG,739.0,732.0,0,UEFA,10/6/2004
7,England,ENG,752.0,739.0,0,UEFA,11/10/2004
8,England,ENG,752.0,752.0,1,UEFA,12/20/2004
8,England,ENG,751.0,752.0,0,UEFA,1/19/2005
8,England,ENG,749.0,751.0,0,UEFA,2/16/2005
8,England,ENG,746.0,749.0,0,UEFA,3/23/2005
6,England,ENG,757.0,746.0,-2,UEFA,4/20/2005
6,England,ENG,754.0,757.0,0,UEFA,5/18/2005
7,England,ENG,757.0,754.0,1,UEFA,6/15/2005
8,England,ENG,744.0,757.0,1,UEFA,7/20/2005
7,England,ENG,743.0,744.0,-1,UEFA,8/17/2005
11,England,ENG,738.0,743.0,4,UEFA,9/12/2005
9,England,ENG,754.0,738.0,-2,UEFA,10/17/2005
9,England,ENG,757.0,754.0,0,UEFA,11/21/2005
9,England,ENG,757.0,757.0,0,UEFA,12/16/2005
9,England,ENG,757.0,757.0,0,UEFA,1/18/2006
9,England,ENG,758.0,757.0,0,UEFA,2/15/2006
9,England,ENG,756.0,758.0,0,UEFA,3/15/2006
10,England,ENG,744.0,756.0,1,UEFA,4/19/2006
10,England,ENG,741.0,744.0,0,UEFA,5/17/2006
5,England,ENG,1434.0,741.0,-5,UEFA,7/12/2006
5,England,ENG,1434.0,1434.0,0,UEFA,8/16/2006
4,England,ENG,1477.0,1434.0,-1,UEFA,9/13/2006
5,England,ENG,1370.0,1477.0,1,UEFA,10/18/2006
5,England,ENG,1359.0,1370.0,0,UEFA,11/22/2006
5,England,ENG,1359.0,1359.0,0,UEFA,12/18/2006
6,England,ENG,1359.0,1359.0,1,UEFA,1/17/2007
6,England,ENG,1330.0,1359.0,0,UEFA,2/14/2007
6,England,ENG,1339.0,1330.0,0,UEFA,3/14/2007
8,England,ENG,1278.0,1339.0,2,UEFA,4/18/2007
8,England,ENG,1278.0,1278.0,0,UEFA,5/16/2007
8,England,ENG,1240.0,1278.0,0,UEFA,6/13/2007
12,England,ENG,1097.0,1240.0,4,UEFA,7/18/2007
12,England,ENG,1091.0,1097.0,0,UEFA,8/22/2007
9,England,ENG,1165.0,1091.0,-3,UEFA,9/19/2007
11,England,ENG,1137.0,1165.0,2,UEFA,10/24/2007
12,England,ENG,1113.0,1137.0,1,UEFA,11/22/2007
12,England,ENG,1113.0,1113.0,0,UEFA,12/17/2007
12,England,ENG,1113.0,1113.0,0,UEFA,1/16/2008
11,England,ENG,1133.0,1113.0,-1,UEFA,2/13/2008
11,England,ENG,1142.0,1133.0,0,UEFA,3/12/2008
11,England,ENG,1098.0,1142.0,0,UEFA,4/9/2008
11,England,ENG,1098.0,1098.0,0,UEFA,5/7/2008
9,England,ENG,1123.0,1098.0,-2,UEFA,6/4/2008
15,England,ENG,1003.0,1123.0,6,UEFA,7/2/2008
14,England,ENG,1003.0,1003.0,-1,UEFA,8/6/2008
15,England,ENG,991.0,1003.0,1,UEFA,9/3/2008
14,England,ENG,982.0,991.0,-1,UEFA,10/8/2008
10,England,ENG,1058.0,982.0,-4,UEFA,11/12/2008
8,England,ENG,1115.0,1058.0,-2,UEFA,12/17/2008
8,England,ENG,1115.0,1115.0,0,UEFA,1/14/2009
8,England,ENG,1136.0,1115.0,0,UEFA,2/11/2009
9,England,ENG,1083.0,1136.0,1,UEFA,3/11/2009
7,England,ENG,1173.0,1083.0,-2,UEFA,4/8/2009
7,England,ENG,1173.0,1173.0,0,UEFA,5/6/2009
6,England,ENG,1225.0,1173.0,-1,UEFA,6/3/2009
7,England,ENG,1135.0,1225.0,1,UEFA,7/1/2009
7,England,ENG,1135.0,1135.0,0,UEFA,8/5/2009
7,England,ENG,1127.0,1135.0,0,UEFA,9/2/2009
7,England,ENG,1101.0,1127.0,0,UEFA,10/16/2009
9,England,ENG,1063.0,1101.0,2,UEFA,11/20/2009
9,England,ENG,1076.0,1063.0,0,UEFA,12/16/2009
9,England,ENG,1076.0,1076.0,0,UEFA,2/3/2010
8,England,ENG,1109.0,1076.0,-1,UEFA,3/3/2010
7,England,ENG,1120.0,1109.0,-1,UEFA,3/31/2010
8,England,ENG,1068.0,1120.0,1,UEFA,4/28/2010
8,England,ENG,1068.0,1068.0,0,UEFA,5/26/2010
7,England,ENG,1125.0,1068.0,-1,UEFA,7/14/2010
7,England,ENG,1125.0,1125.0,0,UEFA,8/11/2010
6,England,ENG,1191.0,1125.0,-1,UEFA,9/15/2010
6,England,ENG,1205.0,1191.0,0,UEFA,10/20/2010
6,England,ENG,1250.0,1205.0,0,UEFA,11/17/2010
6,England,ENG,1195.0,1250.0,0,UEFA,12/15/2010
6,England,ENG,1195.0,1195.0,0,UEFA,1/12/2011
6,England,ENG,1195.0,1195.0,0,UEFA,2/2/2011
6,England,ENG,1212.0,1195.0,0,UEFA,3/9/2011
6,England,ENG,1163.0,1212.0,0,UEFA,4/13/2011
6,England,ENG,1163.0,1163.0,0,UEFA,5/18/2011
4,England,ENG,1146.0,1163.0,-2,UEFA,6/29/2011
6,England,ENG,1146.0,1146.0,2,UEFA,7/27/2011
4,England,ENG,1177.0,1146.0,-2,UEFA,8/24/2011
8,England,ENG,1089.0,1177.0,4,UEFA,9/21/2011
7,England,ENG,1101.0,1089.0,-1,UEFA,10/19/2011
5,England,ENG,1173.0,1101.0,-2,UEFA,11/23/2011
5,England,ENG,1173.0,1173.0,0,UEFA,12/21/2011
5,England,ENG,1173.0,1173.0,0,UEFA,1/18/2012
5,England,ENG,1179.0,1173.0,0,UEFA,2/15/2012
6,England,ENG,1121.0,1179.0,1,UEFA,3/7/2012
7,England,ENG,1132.0,1121.0,1,UEFA,4/11/2012
7,England,ENG,1132.0,1132.0,0,UEFA,5/9/2012
6,England,ENG,1145.0,1132.0,-1,UEFA,6/6/2012
4,England,ENG,1294.0,1145.0,-2,UEFA,7/4/2012
3,England,ENG,1294.0,1294.0,-1,UEFA,8/8/2012
3,England,ENG,1274.0,1294.0,0,UEFA,9/5/2012
5,England,ENG,1196.0,1274.0,2,UEFA,10/3/2012
6,England,ENG,1167.0,1196.0,1,UEFA,11/7/2012
6,England,ENG,1151.0,1167.0,0,UEFA,12/19/2012
6,England,ENG,1151.0,1151.0,0,UEFA,1/17/2013
4,England,ENG,1160.0,1151.0,-2,UEFA,2/14/2013
4,England,ENG,1174.0,1160.0,0,UEFA,3/14/2013
7,England,ENG,1135.0,1174.0,3,UEFA,4/11/2013
7,England,ENG,1135.0,1135.0,0,UEFA,5/9/2013
9,England,ENG,1095.0,1135.0,2,UEFA,6/6/2013
15,England,ENG,994.0,1095.0,6,UEFA,7/4/2013
14,England,ENG,994.0,994.0,-1,UEFA,8/8/2013
17,England,ENG,947.0,994.0,3,UEFA,9/12/2013
10,England,ENG,1080.0,947.0,-7,UEFA,10/17/2013
13,England,ENG,1041.0,1080.0,3,UEFA,11/28/2013
13,England,ENG,1041.0,1041.0,0,UEFA,12/19/2013
13,England,ENG,1041.0,1041.0,0,UEFA,1/16/2014
15,England,ENG,1032.0,1041.0,2,UEFA,2/13/2014
12,England,ENG,1045.0,1032.0,-3,UEFA,3/13/2014
11,England,ENG,1043.0,1045.0,-1,UEFA,4/10/2014
11,England,ENG,1043.0,1043.0,0,UEFA,5/8/2014
10,England,ENG,1090.0,1043.0,-1,UEFA,6/5/2014
20,England,ENG,911.0,1090.0,10,UEFA,7/17/2014
20,England,ENG,915.0,911.0,0,UEFA,8/14/2014
18,England,ENG,935.0,915.0,-2,UEFA,9/18/2014
20,England,ENG,919.0,935.0,2,UEFA,10/23/2014
13,England,ENG,1032.0,919.0,-7,UEFA,11/27/2014
13,England,ENG,1032.0,1032.0,0,UEFA,12/18/2014
13,England,ENG,1032.0,1032.0,0,UEFA,1/8/2015
15,England,ENG,1028.0,1032.0,2,UEFA,2/12/2015
17,England,ENG,1031.0,1028.0,2,UEFA,3/12/2015
14,England,ENG,1030.0,1031.0,-3,UEFA,4/9/2015
14,England,ENG,1030.0,1030.0,0,UEFA,5/7/2015
15,England,ENG,1051.0,1030.0,1,UEFA,6/4/2015
9,England,ENG,1157.0,1051.0,-6,UEFA,7/9/2015
8,England,ENG,1157.0,1157.0,-1,UEFA,8/6/2015
10,England,ENG,1143.0,1157.0,2,UEFA,9/3/2015
10,England,ENG,1161.0,1143.0,0,UEFA,10/1/2015
9,England,ENG,1179.0,1161.0,-1,UEFA,11/5/2015
9,England,ENG,1106.0,1179.0,0,UEFA,12/3/2015
9,England,ENG,1106.0,1106.0,0,UEFA,1/7/2016
9,England,ENG,1106.0,1106.0,0,UEFA,2/4/2016
9,England,ENG,1112.0,1106.0,0,UEFA,3/3/2016
10,England,ENG,1069.0,1112.0,1,UEFA,4/7/2016
10,England,ENG,1069.0,1069.0,0,UEFA,5/5/2016
11,England,ENG,1069.0,1069.0,1,UEFA,6/2/2016
13,England,ENG,1107.0,1069.0,2,UEFA,7/14/2016
13,England,ENG,1107.0,1107.0,0,UEFA,8/11/2016
12,England,ENG,1130.0,1107.0,-1,UEFA,9/15/2016
12,England,ENG,1090.0,1130.0,0,UEFA,10/20/2016
13,England,ENG,1114.0,1090.0,1,UEFA,11/24/2016
13,England,ENG,1114.0,1114.0,0,UEFA,12/22/2016
13,England,ENG,1114.0,1114.0,0,UEFA,1/12/2017
13,England,ENG,1113.0,1114.0,0,UEFA,2/9/2017
14,England,ENG,1114.0,1113.0,1,UEFA,3/9/2017
14,England,ENG,1103.0,1114.0,0,UEFA,4/6/2017
14,England,ENG,1103.0,1103.0,0,UEFA,5/4/2017
13,England,ENG,1119.0,1103.0,-1,UEFA,6/1/2017
13,England,ENG,1051.0,1119.0,0,UEFA,7/6/2017
13,England,ENG,1051.0,1051.0,0,UEFA,8/10/2017
15,England,ENG,1056.0,1051.0,2,UEFA,9/14/2017
12,England,ENG,1116.0,1056.0,-3,UEFA,10/16/2017
15,England,ENG,1047.0,1116.0,3,UEFA,11/23/2017
15,England,ENG,1047.0,1047.0,0,UEFA,12/21/2017
16,England,ENG,1047.0,1047.0,1,UEFA,1/18/2018
16,England,ENG,1047.0,1047.0,0,UEFA,2/15/2018
16,England,ENG,1047.0,1047.0,0,UEFA,3/15/2018
13,England,ENG,1040.0,1047.0,-3,UEFA,4/12/2018
13,England,ENG,1040.0,1040.0,0,UEFA,5/17/2018
12,England,ENG,1051.0,1040.0,-1,UEFA,6/7/2018
7,England,ENG,2099.0,2074.0,-2,UEFA,7/1/2018
6,England,ENG,1615.0,1556.0,-6,UEFA,8/16/2018
6,England,ENG,1612.0,1615.0,0,UEFA,9/20/2018
5,England,ENG,1619.0,1612.0,-1,UEFA,10/25/2018
5,England,ENG,1631.0,1619.0,0,UEFA,11/29/2018
5,England,ENG,1631.0,1631.0,0,UEFA,12/20/2018
5,England,ENG,1631.0,1631.0,0,UEFA,2/7/2019
4,England,ENG,1647.0,1631.0,-1,UEFA,4/4/2019
4,England,ENG,1652.0,1647.0,0,UEFA,6/14/2019
4,England,ENG,1652.0,1652.0,0,UEFA,7/25/2019
4,England,ENG,1662.0,1652.0,0,UEFA,9/19/2019
4,England,ENG,1651.0,1662.0,0,UEFA,10/24/2019
4,England,ENG,1661.0,1651.0,0,UEFA,11/28/2019
4,England,ENG,1661.0,1661.0,0,UEFA,12/19/2019
4,England,ENG,1661.0,1661.0,0,UEFA,2/20/2020
4,England,ENG,1661.0,1661.0,0,UEFA,4/9/2020
4,England,ENG,1661.0,1661.0,0,UEFA,6/11/2020
4,England,ENG,1661.0,1661.0,0,UEFA,7/16/2020
4,England,ENG,1664.0,1661.0,0,UEFA,9/17/2020
4,England,ENG,1669.0,1664.0,0,UEFA,10/22/2020
4,England,ENG,1670.0,1669.0,0,UEFA,11/26/2020
4,England,ENG,1670.0,1670.0,0,UEFA,12/10/2020
4,England,ENG,1670.0,1670.0,0,UEFA,2/18/2021
4,England,ENG,1686.78,1670.0,0,UEFA,4/7/2021
4,England,ENG,1686.78,1686.78,0,UEFA,5/27/2021
4,England,ENG,1752.83,1686.78,0,UEFA,8/12/2021
3,England,ENG,1755.44,1752.83,-1,UEFA,9/16/2021
5,England,ENG,1750.16,1755.44,2,UEFA,10/21/2021
4,England,ENG,1755.52,1750.16,-1,UEFA,11/19/2021
4,England,ENG,1755.52,1755.52,0,UEFA,12/23/2021
5,England,ENG,1755.52,1755.52,1,UEFA,2/10/2022
5,England,ENG,1761.71,1755.52,0,UEFA,3/31/2022
5,England,ENG,1737.46,1761.71,0,UEFA,6/23/2022
5,England,ENG,1737.46,1737.46,0,UEFA,8/25/2022
5,England,ENG,1728.47,1737.46,0,UEFA,10/6/2022
5,England,ENG,1774.19,1728.47,0,UEFA,12/22/2022
5,England,ENG,1792.43,1774.19,0,UEFA,4/6/2023
4,England,ENG,1797.39,1792.43,-1,UEFA,6/29/2023
4,England,ENG,1797.39,1797.39,0,UEFA,7/20/2023
